Model,MSE_y1,RMSE_y1,R2_y1,Adj_R2_y1,MSE_y2,RMSE_y2,R2_y2,Adj_R2_y2
elu outputs activation with adagrad optimizer and 5 batches,0.228,0.478,0.956,0.956,727.123,26.965,0.91,0.956
elu outputs activation with adam optimizer and 5 batches,177.804,13.334,-33.143,-33.16,237611.978,487.455,-28.265,-33.16
elu outputs activation with nadam optimizer and 5 batches,0.032,0.179,0.994,0.994,445.508,21.107,0.945,0.994
elu outputs activation with rmsprop optimizer and 5 batches,0.032,0.18,0.994,0.994,111.66,10.567,0.986,0.994
tanh outputs activation with adagrad optimizer and 1 batches,105.476,10.27,-19.254,-19.264,156377.179,395.446,-18.26,-19.264
tanh outputs activation with adam optimizer and 1 batches,102.946,10.146,-18.768,-18.778,175043.858,418.382,-20.559,-18.778
tanh outputs activation with nadam optimizer and 1 batches,119.843,10.947,-22.013,-22.024,139714.645,373.784,-16.208,-22.024
tanh outputs activation with rmsprop optimizer and 1 batches,100.017,10.001,-18.206,-18.215,144523.734,380.163,-16.8,-18.215
tanh outputs activation with adagrad optimizer and 32 batches,92.661,9.626,-16.793,-16.802,116351.504,341.103,-13.33,-16.802
tanh outputs activation with adam optimizer and 32 batches,83.71,9.149,-15.074,-15.082,123785.935,351.832,-14.246,-15.082
tanh outputs activation with nadam optimizer and 32 batches,98.836,9.942,-17.979,-17.988,126994.738,356.363,-14.641,-17.988
tanh outputs activation with rmsprop optimizer and 32 batches,88.888,9.428,-16.069,-16.077,132013.379,363.336,-15.259,-16.077
tanh outputs activation with adagrad optimizer and 10 batches,94.433,9.718,-17.133,-17.143,122611.772,350.16,-14.101,-17.143
tanh outputs activation with adam optimizer and 10 batches,117.059,10.819,-21.478,-21.489,155327.641,394.116,-18.131,-21.489
tanh outputs activation with nadam optimizer and 10 batches,112.099,10.588,-20.526,-20.536,137944.712,371.409,-15.99,-20.536
tanh outputs activation with rmsprop optimizer and 10 batches,112.068,10.586,-20.52,-20.531,140311.503,374.582,-16.281,-20.531
tanh outputs activation with adagrad optimizer and 5 batches,103.676,10.182,-18.908,-18.918,133967.904,366.016,-15.5,-18.918
tanh outputs activation with adam optimizer and 5 batches,111.579,10.563,-20.426,-20.437,143950.684,379.408,-16.729,-20.437
tanh outputs activation with nadam optimizer and 5 batches,81.915,9.051,-14.73,-14.738,155388.853,394.194,-18.138,-14.738
tanh outputs activation with rmsprop optimizer and 5 batches,105.26,10.26,-19.213,-19.223,140629.999,375.007,-16.32,-19.223
"<LeakyReLU name=leaky_re_lu, built=True> outputs activation with rmsprop optimizer and 5 batches",0.042,0.205,0.992,0.992,165.625,12.87,0.98,0.992
"<LeakyReLU name=leaky_re_lu, built=True> outputs activation with rmsprop optimizer and 5 batches",0.035,0.188,0.993,0.993,80.554,8.975,0.99,0.993
